Rank,Title,Worldwide gross,Year
1,The Lion King (2019)[nb 2],"$1,663,075,401",2019
2,Frozen II,"$1,453,683,476",2019
3,The Super Mario Bros. Movie †,"$1,360,764,054",2023
4,Frozen,"$1,290,000,000",2013
5,Incredibles 2,"$1,242,805,359",2018
6,Minions,"$1,159,398,397",2015
7,Toy Story 4,"$1,073,394,593",2019
8,Toy Story 3,"$1,066,969,703",2010
9,Despicable Me 3,"$1,034,799,409",2017
10,Finding Dory,"$1,028,570,889",2016
11,Zootopia,"$1,025,521,689",2016
12,Despicable Me 2,"$970,766,005",2013
13,The Lion King (1994),"$968,511,805",1994
14,Finding Nemo,"$940,094,852",2003
15,Minions: The Rise of Gru,"$939,628,210",2022
16,Shrek 2,"$928,760,770",2004
17,Ice Age: Dawn of the Dinosaurs,"$886,686,817",2009
18,Ice Age: Continental Drift,"$879,765,137",2012
19,The Secret Life of Pets,"$875,457,937",2016
20,Inside Out,"$857,611,174",2015
21,Shrek the Third,"$813,367,380",2007
22,Coco,"$807,816,196",2017
23,Shrek Forever After,"$756,244,673",2010
24,Madagascar 3: Europe's Most Wanted,"$746,921,274",2012
25,Monsters University,"$743,559,607",2013
26,Ne Zha,"$742,514,069",2019
27,Up,"$735,099,082",2009
28,Spider-Man: Across the Spider-Verse †,"$689,810,862",2023
29,Kung Fu Panda 2,"$665,692,281",2011
30,Ice Age: The Meltdown,"$660,998,756",2006
31,Big Hero 6,"$657,827,828",2014
32,Moana,"$645,000,000",2016
33,Sing,"$634,151,679",2016
34,Kung Fu Panda,"$631,744,560",2008
35,The Incredibles,"$631,442,092",2004
36,Ratatouille,"$623,726,085",2007
37,How to Train Your Dragon 2,"$621,537,519",2014
38,Madagascar: Escape 2 Africa,"$603,900,354",2008
39,Tangled,"$592,461,732",2010
40,The Croods,"$587,204,668",2013
41,"Monsters, Inc.","$579,707,738",2001
42,Cars 2,"$559,852,396",2011
43,Puss in Boots,"$554,987,477",2011
44,Despicable Me,"$543,113,985",2010
45,Madagascar,"$542,063,846",2005
46,Brave,"$538,983,207",2012
47,The Simpsons Movie,"$536,414,293",2007
48,WALL-E,"$532,508,025",2008
49,Ralph Breaks the Internet,"$529,323,962",2018
50,Hotel Transylvania 3: Summer Vacation,"$528,583,774",2018
